Name,Applicants total,Enrolled total,Tuition and fees,Costs of living on campus,Ranking,Ranking display
Alabama A & M University,6142.0,1104.0,7182.0,27441.0,1000+,1000+
University of Alabama at Birmingham,5689.0,1773.0,7206.0,31687.0,301-400,top 1000
University of Alabama in Huntsville,2054.0,651.0,9192.0,35780.0,1000+,1000+
Alabama State University,10245.0,1479.0,8720.0,25222.0,1000+,1000+
The University of Alabama,30975.0,6454.0,9450.0,41500.0,1000+,1000+
Auburn University at Montgomery,1958.0,579.0,8750.0,34020.0,1000+,1000+
Auburn University,15745.0,3726.0,9852.0,41794.0,501-600,top 1000
Birmingham Southern College,1931.0,356.0,30690.0,45470.0,1000+,1000+
Huntingdon College,1470.0,261.0,23500.0,33885.0,1000+,1000+
Jacksonville State University,3083.0,1158.0,7092.0,28029.0,1000+,1000+
Judson College,268.0,68.0,15630.0,28840.0,1000+,1000+
University of West Alabama,462.0,380.0,7660.0,24672.0,1000+,1000+
University of Mobile,866.0,259.0,18690.0,32570.0,1000+,1000+
University of Montevallo,1385.0,531.0,10000.0,33030.0,1000+,1000+
University of North Alabama,2542.0,970.0,7078.0,22525.0,1000+,1000+
Oakwood University,2728.0,409.0,16234.0,36295.0,1000+,1000+
Samford University,3447.0,765.0,26328.0,40900.0,1000+,1000+
University of South Alabama,4814.0,1878.0,6948.0,26628.0,1000+,1000+
Spring Hill College,6596.0,431.0,30924.0,46170.0,1000+,1000+
Stillman College,4121.0,257.0,15901.0,26877.0,1000+,1000+
Troy University,5946.0,2087.0,7276.0,24564.0,1000+,1000+
Tuskegee University,10022.0,650.0,18900.0,32853.0,1000+,1000+
Alaska Pacific University,494.0,33.0,29810.0,43180.0,1000+,1000+
Arizona State University-Tempe,21770.0,7171.0,9861.0,37630.0,1000+,1000+
University of Arizona,26329.0,7401.0,10391.0,42171.0,101-150,top 1000
Embry-Riddle Aeronautical University-Prescott,1689.0,448.0,31034.0,46314.0,1000+,1000+
Northern Arizona University,33989.0,4772.0,9738.0,35101.0,501-600,top 1000
Prescott College,399.0,49.0,29732.0,41336.0,1000+,1000+
Arizona Christian University,344.0,90.0,21832.0,35382.0,1000+,1000+
University of Arkansas at Little Rock,1443.0,667.0,7094.0,32968.0,901-1000,top 1000
Lyon College,1309.0,174.0,23594.0,34154.0,1000+,1000+
University of Arkansas,18908.0,4339.0,7818.0,33468.0,1000+,1000+
University of Arkansas at Pine Bluff,4094.0,568.0,5938.0,22582.0,1000+,1000+
Arkansas State University-Main Campus,4838.0,1619.0,7510.0,25624.0,1000+,1000+
Arkansas Tech University,3847.0,1755.0,5598.0,20862.0,1000+,1000+
University of Central Arkansas,3659.0,2157.0,7595.0,24341.0,1000+,1000+
Central Baptist College,540.0,129.0,13350.0,23224.0,1000+,1000+
Harding University,2180.0,1041.0,16170.0,26634.0,1000+,1000+
Henderson State University,3350.0,704.0,7580.0,25054.0,1000+,1000+
Hendrix College,1928.0,436.0,37816.0,52536.0,1000+,1000+
John Brown University,1143.0,305.0,22734.0,34776.0,1000+,1000+
Ouachita Baptist University,1740.0,394.0,22370.0,32610.0,1000+,1000+
University of the Ozarks,1061.0,159.0,24350.0,36379.0,1000+,1000+
Williams Baptist College,531.0,156.0,13750.0,23886.0,1000+,1000+
Southern Arkansas University Main Campus,2720.0,663.0,7466.0,22588.0,1000+,1000+
University of Arkansas-Fort Smith,3905.0,1343.0,4528.0,22042.0,1000+,1000+
